BASKETID,SECTION,OBJECTID,the_geom,LOCATION_DESCRIPTION,BASKETTYPE,OWNERTYPE,STREETNAME1,STREETNAME2,DIRECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY
40710070,QE071,9386,POINT (-73.82808078925407 40.75529808712782),E corner of MAIN ST and MAPLE AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,MAIN ST,MAPLE AV,E,1031880.72231181,214495.87847272,1031860.2817359,214531.1917223
40730010,QE073,9387,POINT (-73.83010046654229 40.76373138593347),NE corner of NORTHERN BLVD and LINDEN PL,PSR Silver Bullet BlackTop Basket,DSNY-owned,NORTHERN BLVD,LINDEN PL,NE,1031315.21097565,217567.30704114,1031301.96953231,217531.42522313
40710078,QE071,9388,POINT (-73.82807421376879 40.75431193271955),W corner of MAIN ST and FRANKLIN AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,MAIN ST,FRANKLIN AV,W,1031883.24920964,214136.59474246,1031915.71732056,214127.06654631
40710157,QE071,9389,POINT (-73.83019843081838 40.76313417334978),Location Description T/K,PSR Silver Bullet BlackTop Basket,DSNY-owned,Street Name TBD,,Direction TBD,1031288.49514981,217349.67066538,1031280.30812255,217371.65701457
40710047,QE071,9390,POINT (-73.82684294501652 40.76058327912591),NW corner of UNION ST and ROOSEVELT AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,UNION ST,ROOSEVELT AV,NW,1032219.86106923,216422.11773047,1032262.91839781,216394.73359889
20730025,BX073,9391,POINT (-73.88190208712575 40.88246342497686),Location Description T/K,High-End Basket,BID-owned,Street Name TBD,,Direction TBD,1016907.04884714,260802.0735898,1016939.33223857,260772.76425561
20710012,BX071,9392,POINT (-73.89845295479869 40.862563904944494),NW corner of E FORDHAM RD and CRESTON AV,High-End Basket,BID-owned,E FORDHAM RD,CRESTON AV,NW,1012338.78009656,253546.16192055,1012357.55532148,253487.8460923
20720028,BX072,9393,POINT (-73.88768043297884 40.87518912218918),NW corner of E 204 ST and VILLA AV,Standard Wire Basket,DSNY-owned,E 204 ST,VILLA AV,NW,1015312.60945073,258149.65632246,1015330.65961148,258113.83093479
20620127,BX062,9394,POINT (-73.89721047212691 40.84703233028549),NW corner of E TREMONT AV and BATHGATE AV,Standard Wire Basket,DSNY-owned,E TREMONT AV,BATHGATE AV,NW,1012689.09632505,247887.82021888,1012689.25741398,247857.1486923
20820036,BX082,9395,POINT (-73.90601671281712 40.87936918322125),W corner of W 231 ST and GODWIN TER,Standard Wire Basket,DSNY-owned,W 231 ST,GODWIN TER,W,1010240.04183997,259666.64639871,1010269.23075798,259680.27826121
20620128,BX062,9396,POINT (-73.89907326973226 40.84739682600687),E corner of E TREMONT AV and PARK AVE,Standard Wire Basket,DSNY-owned,E TREMONT AV,PARK AVE,E,1012173.56487581,248020.0204138,1012137.30313732,248002.62412313
20820037,BX082,9397,POINT (-73.90650827469234 40.87963054917751),S corner of W 231 ST and KINGSBRIDGE AV,Standard Wire Basket,DSNY-owned,W 231 ST,KINGSBRIDGE AV,S,1010104.00635089,259761.72691722,1010090.58478981,259796.30132313
20720029,BX072,9398,POINT (-73.88675385133699 40.875008154972285),NW corner of GRAND CONCOURSE and E 204 ST,Standard Wire Basket,DSNY-owned,GRAND CONCOURSE,E 204 ST,NW,1015568.94259948,258084.05277914,1015584.68797481,258044.03776731
20710013,BX071,9399,POINT (-73.90158499597979 40.86254218405989),SW corner of JEROME AV and W FORDHAM RD,High-End Basket,BID-owned,JEROME AV,W FORDHAM RD,SW,1011472.4524329,253537.2593793,1011527.02483031,253586.97876805
20940007,BX094,9400,POINT (-73.84728440197635 40.81711676090225),NE corner of CASTLE HILL AV and LACOMBE AVE,Standard Wire Basket,DSNY-owned,CASTLE HILL AV,LACOMBE AVE,NE,1026521.09064265,237008.63823713,1026483.78658339,236969.62781647
20620129,BX062,9401,POINT (-73.89927989317269 40.84707704076466),S corner of E TREMONT AV and PARK AVE,Standard Wire Basket,DSNY-owned,E TREMONT AV,PARK AVE,S,1012116.53283764,247903.44485955,1012112.37208481,247946.14129646
20820038,BX082,9402,POINT (-73.90679176754693 40.87980635824462),W corner of W 231 ST and KINGSBRIDGE AV,Standard Wire Basket,DSNY-owned,W 231 ST,KINGSBRIDGE AV,W,1010025.54292515,259825.6975898,1010047.99530806,259821.75894938
20940009,BX094,9403,POINT (-73.86188277345013 40.830600962134135),NW corner of WHITE PLAINS RD and GLEASON AV,Standard Wire Basket,DSNY-owned,WHITE PLAINS RD,GLEASON AV,NW,1022472.6135034,241914.70847747,1022504.41134006,241897.3574623
20940010,BX094,9404,POINT (-73.86104356190815 40.82857278236556),NW corner of WHITE PLAINS RD and WATSON AV,Standard Wire Basket,DSNY-owned,WHITE PLAINS RD,WATSON AV,NW,1022706.02675048,241176.13646381,1022763.27565172,241147.9691973
20820039,BX082,9405,POINT (-73.90759170236973 40.880231539942166),S corner of W 231 ST and CORLEAR AV,Standard Wire Basket,DSNY-owned,W 231 ST,CORLEAR AV,S,1009804.17132065,259980.37378964,1009793.38394064,260011.18278313
20720032,BX072,9406,POINT (-73.89125592128532 40.874544868450656),E corner of PAUL AV and BEDFORD PARK BL W,Standard Wire Basket,DSNY-owned,PAUL AV,BEDFORD PARK BL W,E,1014324.09272698,257913.6817288,1014268.17157897,257904.93043396
20820040,BX082,9407,POINT (-73.90787599283794 40.88039389728013),W corner of W 231 ST and CORLEAR AV,Standard Wire Basket,DSNY-owned,W 231 ST,CORLEAR AV,W,1009725.49398457,260039.44420955,1009758.15435231,260034.16502063
20940011,BX094,9408,POINT (-73.86142540345205 40.83066421631757),NE corner of WHITE PLAINS RD and GLEASON AV,Standard Wire Basket,DSNY-owned,WHITE PLAINS RD,GLEASON AV,NE,1022599.14835531,241937.95416588,1022572.40989172,241905.76295731
20730027,BX073,9409,POINT (-73.87835053945872 40.88081372240244),SE corner of E GUN HILL RD and BAINBRIDGE AV,Standard Wire Basket,DSNY-owned,E GUN HILL RD,BAINBRIDGE AV,SE,1017889.9632199,260202.36547163,1017869.65059648,260249.7715448
