"Date of Census","Total Adults in Shelter","Total Children in Shelter","Total Individuals in Shelter","Single Adult Men in Shelter","Single Adult Women in Shelter","Total Single Adults in Shelter","Families with Children in Shelter","Adults in Families with Children in Shelter","Children in Families with Children in Shelter","Total Individuals in Families with Children in Shelter ","Adult Families in Shelter","Individuals in Adult Families in Shelter"
"06/15/2021","32573","15173","47746","13199","4263","17462","8759","11459","15173","26632","1738","3652"
"06/14/2021","32634","15195","47829","13241","4272","17513","8762","11467","15195","26662","1739","3654"
"06/13/2021","32652","15245","47897","13208","4263","17471","8800","11534","15245","26779","1736","3647"
"06/12/2021","32620","15253","47873","13195","4234","17429","8802","11545","15253","26798","1735","3646"
"06/11/2021","32623","15265","47888","13174","4248","17422","8808","11542","15265","26807","1740","3659"
"06/10/2021","32659","15288","47947","13202","4245","17447","8817","11566","15288","26854","1732","3646"
"06/09/2021","32597","15201","47798","13190","4241","17431","8776","11515","15201","26716","1735","3651"
"06/08/2021","32680","15239","47919","13246","4234","17480","8798","11546","15239","26785","1737","3654"
"06/07/2021","32704","15238","47942","13235","4261","17496","8800","11535","15238","26773","1746","3673"
"06/06/2021","32679","15298","47977","13196","4241","17437","8847","11600","15298","26898","1731","3642"
"06/05/2021","32613","15279","47892","13145","4242","17387","8830","11580","15279","26859","1733","3646"
"06/04/2021","32714","15270","47984","13213","4263","17476","8819","11571","15270","26841","1744","3667"
"06/03/2021","32801","15307","48108","13279","4272","17551","8842","11594","15307","26901","1738","3656"
"06/02/2021","32705","15256","47961","13216","4271","17487","8821","11563","15256","26819","1737","3655"
"06/01/2021","32826","15267","48093","13294","4280","17574","8835","11583","15267","26850","1744","3669"
"05/31/2021","32887","15341","48228","13317","4266","17583","8872","11629","15341","26970","1748","3675"
"05/30/2021","32968","15362","48330","13386","4285","17671","8879","11634","15362","26996","1743","3663"
"05/29/2021","32944","15347","48291","13377","4307","17684","8858","11607","15347","26954","1738","3653"
"05/28/2021","32888","15365","48253","13320","4305","17625","8852","11599","15365","26964","1744","3664"
"05/27/2021","32868","15372","48240","13312","4289","17601","8845","11592","15372","26964","1750","3675"
"05/26/2021","32873","15326","48199","13339","4297","17636","8838","11581","15326","26907","1740","3656"
"05/25/2021","32876","15312","48188","13333","4299","17632","8833","11570","15312","26882","1748","3674"
"05/24/2021","32944","15330","48274","13376","4310","17686","8824","11559","15330","26889","1760","3699"
"05/23/2021","32894","15341","48235","13343","4283","17626","8831","11587","15341","26928","1751","3681"
"05/22/2021","32877","15378","48255","13275","4294","17569","8859","11615","15378","26993","1757","3693"
"05/21/2021","32919","15375","48294","13285","4305","17590","8865","11621","15375","26996","1764","3708"
"05/20/2021","33012","15376","48388","13355","4328","17683","8875","11641","15376","27017","1754","3688"
"05/19/2021","33026","15346","48372","13396","4311","17707","8867","11618","15346","26964","1760","3701"
"05/18/2021","33074","15418","48492","13365","4325","17690","8905","11676","15418","27094","1763","3708"
"05/17/2021","33191","15456","48647","13429","4337","17766","8908","11686","15456","27142","1778","3739"
"05/16/2021","33241","15515","48756","13451","4326","17777","8937","11731","15515","27246","1775","3733"
"05/15/2021","33246","15536","48782","13427","4318","17745","8957","11758","15536","27294","1780","3743"
"05/14/2021","33266","15496","48762","13460","4336","17796","8934","11726","15496","27222","1781","3744"
"05/13/2021","33293","15515","48808","13474","4347","17821","8930","11730","15515","27245","1780","3742"
"05/12/2021","33309","15476","48785","13492","4352","17844","8916","11727","15476","27203","1778","3738"
"05/11/2021","33350","15458","48808","13537","4360","17897","8894","11700","15458","27158","1784","3753"
"05/10/2021","33430","15504","48934","13565","4361","17926","8920","11728","15504","27232","1795","3776"
"05/09/2021","33565","15619","49184","13614","4346","17960","8981","11814","15619","27433","1802","3791"
"05/08/2021","33466","15630","49096","13479","4360","17839","8994","11833","15630","27463","1804","3794"
"05/07/2021","33511","15606","49117","13490","4377","17867","8999","11844","15606","27450","1807","3800"
"05/06/2021","33560","15587","49147","13551","4389","17940","8985","11828","15587","27415","1803","3792"
"05/05/2021","33638","15629","49267","13606","4382","17988","9039","11858","15629","27487","1804","3792"
"05/04/2021","33564","15631","49195","13557","4352","17909","8997","11850","15631","27481","1811","3805"
"05/03/2021","33599","15609","49208","13582","4347","17929","9000","11851","15609","27460","1816","3819"
"05/02/2021","33533","15688","49221","13505","4308","17813","9026","11900","15688","27588","1816","3820"
"05/01/2021","33548","15711","49259","13506","4308","17814","9042","11921","15711","27632","1812","3813"
"04/30/2021","33622","15716","49338","13540","4321","17861","9054","11942","15716","27658","1815","3819"
"04/29/2021","33721","15735","49456","13625","4341","17966","9061","11936","15735","27671","1814","3819"
"04/28/2021","33771","15788","49559","13625","4355","17980","9080","11959","15788","27747","1821","3832"
"04/27/2021","33733","15789","49522","13605","4353","17958","9076","11950","15789","27739","1816","3825"
"04/26/2021","33850","15796","49646","13714","4344","18058","9075","11957","15796","27753","1821","3835"
"04/25/2021","33874","15822","49696","13694","4351","18045","9095","11977","15822","27799","1831","3852"
"04/24/2021","33869","15847","49716","13648","4359","18007","9106","12001","15847","27848","1835","3861"
"04/23/2021","33871","15875","49746","13628","4367","17995","9108","12009","15875","27884","1836","3867"
"04/22/2021","33956","15869","49825","13729","4371","18100","9106","11996","15869","27865","1832","3860"
"04/21/2021","33969","15883","49852","13733","4374","18107","9112","11996","15883","27879","1835","3866"
"04/20/2021","33857","15819","49676","13649","4361","18010","9095","11965","15819","27784","1843","3882"
"04/19/2021","33956","15911","49867","13657","4391","18048","9140","12029","15911","27940","1841","3879"
"04/18/2021","34028","15924","49952","13724","4375","18099","9150","12052","15924","27976","1840","3877"
"04/17/2021","34032","15947","49979","13699","4391","18090","9167","12065","15947","28012","1840","3877"
"04/16/2021","34110","15986","50096","13732","4394","18126","9191","12102","15986","28088","1843","3882"
"04/15/2021","34129","16003","50132","13738","4400","18138","9197","12118","16003","28121","1840","3873"
"04/14/2021","34077","16017","50094","13690","4391","18081","9197","12125","16017","28142","1839","3871"
"04/13/2021","34123","15992","50115","13727","4403","18130","9185","12111","15992","28103","1843","3882"
"04/12/2021","34225","15987","50212","13792","4418","18210","9184","12111","15987","28098","1854","3904"
"04/11/2021","34286","16050","50336","13820","4405","18225","9210","12155","16050","28205","1852","3906"
"04/10/2021","34106","16053","50159","13688","4358","18046","9218","12160","16053","28213","1849","3900"
"04/09/2021","34141","16015","50156","13713","4387","18100","9206","12142","16015","28157","1849","3899"
"04/08/2021","34140","16049","50189","13683","4380","18063","9220","12161","16049","28210","1856","3916"
"04/07/2021","34175","16031","50206","13729","4378","18107","9208","12153","16031","28184","1856","3915"
"04/06/2021","34225","16044","50269","13750","4404","18154","9205","12144","16044","28188","1859","3927"
"04/05/2021","34361","16145","50506","13781","4418","18199","9257","12217","16145","28362","1867","3945"
"04/04/2021","34419","16187","50606","13812","4406","18218","9299","12273","16187","28460","1859","3928"
"04/03/2021","34334","16161","50495","13732","4409","18141","9280","12247","16161","28408","1866","3946"
"04/02/2021","34420","16180","50600","13772","4444","18216","9285","12257","16180","28437","1867","3947"
"04/01/2021","34471","16178","50649","13816","4447","18263","9292","12266","16178","28444","1865","3942"
"03/31/2021","34542","16169","50711","13855","4467","18322","9300","12280","16169","28449","1863","3940"
"03/30/2021","34525","16227","50752","13820","4468","18288","9319","12303","16227","28530","1861","3934"
"03/29/2021","34600","16214","50814","13886","4484","18370","9313","12284","16214","28498","1868","3946"
"03/28/2021","34617","16267","50884","13869","4480","18349","9343","12329","16267","28596","1865","3939"
"03/27/2021","34511","16269","50780","13790","4459","18249","9340","12321","16269","28590","1868","3941"
"03/26/2021","34504","16261","50765","13790","4477","18267","9331","12295","16261","28556","1867","3942"
"03/25/2021","34693","16311","51004","13879","4517","18396","9352","12329","16311","28640","1879","3968"
"03/24/2021","34742","16342","51084","13928","4511","18439","9360","12338","16342","28680","1877","3965"
"03/23/2021","34683","16368","51051","13891","4504","18395","9375","12350","16368","28718","1864","3938"
"03/22/2021","34747","16422","51169","13911","4507","18418","9398","12391","16422","28813","1865","3938"
"03/21/2021","34810","16491","51301","13900","4509","18409","9440","12454","16491","28945","1869","3947"
"03/20/2021","34783","16467","51250","13877","4505","18382","9420","12432","16467","28899","1879","3969"
"03/19/2021","34852","16487","51339","13922","4504","18426","9430","12448","16487","28935","1885","3978"
"03/18/2021","34913","16498","51411","13948","4533","18481","9438","12454","16498","28952","1882","3978"
"03/17/2021","34879","16485","51364","13928","4526","18454","9434","12449","16485","28934","1878","3976"
"03/16/2021","34987","16484","51471","14031","4538","18569","9440","12452","16484","28936","1874","3966"
"03/15/2021","34926","16527","51453","13950","4532","18482","9462","12476","16527","29003","1875","3968"
"03/14/2021","34930","16546","51476","13954","4536","18490","9472","12490","16546","29036","1867","3950"
"03/13/2021","34900","16582","51482","13932","4508","18440","9491","12507","16582","29089","1869","3953"
"03/12/2021","34889","16550","51439","13939","4501","18440","9476","12489","16550","29039","1873","3960"
"03/11/2021","35087","16618","51705","14009","4530","18539","9531","12568","16618","29186","1883","3980"
"03/10/2021","35068","16617","51685","13998","4519","18517","9514","12556","16617","29173","1890","3995"
"03/09/2021","35052","16608","51660","13978","4509","18487","9508","12553","16608","29161","1898","4012"
"03/08/2021","35161","16720","51881","14011","4495","18506","9571","12639","16720","29359","1901","4016"
"03/07/2021","35232","16809","52041","14008","4505","18513","9624","12700","16809","29509","1903","4019"
"03/06/2021","35146","16794","51940","13955","4493","18448","9612","12678","16794","29472","1903","4020"
"03/05/2021","35103","16766","51869","13939","4485","18424","9598","12647","16766","29413","1908","4032"
"03/04/2021","35176","16720","51896","13989","4526","18515","9578","12626","16720","29346","1911","4035"
"03/03/2021","35108","16720","51828","13931","4503","18434","9579","12638","16720","29358","1913","4036"
"03/02/2021","35202","16746","51948","13962","4526","18488","9590","12658","16746","29404","1922","4056"
"03/01/2021","35195","16746","51941","13936","4543","18479","9593","12662","16746","29408","1920","4054"
